date;water_level
2017-06-10 17:00:00;0.31
2017-06-10 18:00:00;0.46
2017-06-11 17:00:00;0.37
2017-06-12 17:00:00;0.44
2017-06-23 14:00:00;0.43
2017-06-23 15:00:00;0.46
2017-06-24 15:00:00;0.45
2017-06-25 14:00:00;0.47
2017-06-25 15:00:00;0.41
2017-06-25 16:00:00;0.33
2017-06-25 17:00:00;0.41
2017-06-26 15:00:00;0.46
2017-06-26 16:00:00;0.37
2017-06-26 17:00:00;0.35
2017-06-27 17:00:00;0.43
2017-06-27 18:00:00;0.47
2017-07-22 14:00:00;0.41
2017-07-23 15:00:00;0.46
2017-07-24 15:00:00;0.44
2017-07-24 16:00:00;0.38
2017-07-24 17:00:00;0.47
2017-07-25 17:00:00;0.47
2017-07-26 16:00:00;0.47
2017-08-21 15:00:00;0.47
2017-11-06 03:00:00;0.33
2017-11-06 04:00:00;0.27
2017-11-06 05:00:00;0.45
2017-11-06 06:00:00;0.39
2017-11-11 07:00:00;0.39
2017-11-11 08:00:00;0.43
2017-11-11 09:00:00;0.3
2017-11-11 10:00:00;0.38
2017-11-11 11:00:00;0.46
2017-12-03 01:00:00;0.46
2017-12-03 02:00:00;0.41
2017-12-04 01:00:00;0.47
2017-12-04 02:00:00;0.35
2017-12-04 03:00:00;0.35
2017-12-04 04:00:00;0.41
2017-12-05 02:00:00;0.34
2017-12-05 03:00:00;0.33
2017-12-05 04:00:00;0.23
2017-12-05 05:00:00;0.37
2017-12-05 06:00:00;0.45
2017-12-06 03:00:00;0.36
2017-12-06 05:00:00;0.32
2017-12-06 06:00:00;0.35
2017-12-07 04:00:00;0.47
2017-12-07 05:00:00;0.39
2017-12-07 06:00:00;0.41
2017-12-07 07:00:00;0.43
2017-12-09 08:00:00;0.47
2017-12-16 00:00:00;0.45
2017-12-16 01:00:00;0.43
2017-12-17 01:00:00;0.4
2017-12-17 03:00:00;0.43
2017-12-17 04:00:00;0.47
2017-12-18 03:00:00;0.43
2017-12-18 04:00:00;0.45
2017-12-19 03:00:00;0.43
2017-12-19 04:00:00;0.46
2017-12-21 06:00:00;0.46
2017-12-26 08:00:00;0.35
2017-12-26 09:00:00;0.23
2017-12-26 10:00:00;0.36
2017-12-26 11:00:00;0.32
2017-12-26 12:00:00;0.27
2017-12-26 16:00:00;0.41
2017-12-26 17:00:00;0.44
2017-12-26 18:00:00;0.43
2017-12-26 19:00:00;0.46
2017-12-26 20:00:00;0.47
2017-12-26 21:00:00;0.44
2017-12-27 09:00:00;0.47
2017-12-27 10:00:00;0.44
2017-12-27 17:00:00;0.47
2017-12-27 19:00:00;0.45
2017-12-27 20:00:00;0.42
2017-12-27 21:00:00;0.27
2017-12-27 22:00:00;0.27
2017-12-27 23:00:00;0.35
2017-12-28 00:00:00;0.43
2018-01-01 02:00:00;0.37
2018-01-01 03:00:00;0.42
2018-01-02 02:00:00;0.42
2018-01-02 03:00:00;0.41
2018-01-02 04:00:00;0.47
2018-01-03 02:00:00;0.35
2018-01-03 03:00:00;0.24
2018-01-03 04:00:00;0.24
2018-01-03 05:00:00;0.26
2018-01-03 06:00:00;0.4
2018-01-04 03:00:00;0.39
